model,train dataset,test dataset,features,accuracy,precision,recall,FPR,F1 score,notes
vanilla_DQN_1.pkl,cicids2017,cicddos2019,67,0.6607633872395955,0.9759519038076152,0.5986050367321271,0.06506115243979321,0.742062367115521,
vanilla_DQN_1.pkl,cicids2017,cicdos2017,67,0.5542054714784633,0.9163271245634459,0.5314372520887839,0.3034300791556728,0.6727204743336361,
vanilla_DQN_1.pkl,cicids2017,cicids2017,67,0.9731860354466516,0.9744320209349352,0.9720098007225957,0.025631852898563685,0.9732194036810325,
vanilla_DQN_2.pkl,cicids2017,cicddos2019,67,0.6671948548259309,0.9690543878454584,0.6042544535177705,0.07809008585205221,0.7443617097443976,
vanilla_DQN_2.pkl,cicids2017,cicdos2017,67,0.5697759022118742,0.9013387660069848,0.5419546766996237,0.29287257019438445,0.6769029014807934,
vanilla_DQN_2.pkl,cicids2017,cicids2017,67,0.9742952301653384,0.9831628404900677,0.9660300837998621,0.017141161796582666,0.9745211665320607,
vanilla_DQN_3.pkl,cicids2017,cicddos2019,67,0.6863028382346088,0.9700330894346834,0.6188564802426189,0.06928132744316345,0.7556362316209838,
vanilla_DQN_3.pkl,cicids2017,cicdos2017,67,0.5730500582072177,0.8847497089639115,0.5449982072427393,0.30602782071097373,0.6745063234967826,
vanilla_DQN_3.pkl,cicids2017,cicids2017,67,0.9728024265493042,0.964416557630546,0.9808674086619888,0.03499649040711277,0.9725724224794579,
vanilla_DQN_4.pkl,cicids2017,cicddos2019,67,0.6445449037610104,0.9804725730530829,0.5864577816184875,0.059508592529470244,0.7339263910692482,
vanilla_DQN_4.pkl,cicids2017,cicdos2017,67,0.5173166472642607,0.8694703143189756,0.510160519125683,0.44143700787401574,0.6430262591476539,
vanilla_DQN_4.pkl,cicids2017,cicids2017,67,0.9743338884263114,0.9843582728678483,0.9650109905487112,0.015961740375920228,0.9745886218500754,
pn_per_dd_DQN_1.pkl,cicids2017,cicddos2019,67,0.6212890898075221,0.9720370974507154,0.5712837930373332,0.0936768149882904,0.7196287478866922,
pn_per_dd_DQN_1.pkl,cicids2017,cicdos2017,67,0.6016443538998836,0.9419383003492433,0.5604814269633734,0.18177676537585422,0.7027848650996146,
pn_per_dd_DQN_1.pkl,cicids2017,cicids2017,67,0.9801237064351136,0.9861603425716665,0.9743961920432509,0.014008789356450545,0.9802429724217434,
pn_per_dd_DQN_2.pkl,cicids2017,cicddos2019,67,0.6565922542759939,0.9754858554317938,0.5956120880997098,0.06767884714359239,0.7396243749889574,
pn_per_dd_DQN_2.pkl,cicids2017,cicdos2017,67,0.6723661233993015,0.9016298020954598,0.618178190162626,0.18167159365761892,0.7334714412548091,
pn_per_dd_DQN_2.pkl,cicids2017,cicids2017,67,0.9775692874985131,0.9833115261091947,0.9721469268717183,0.016882358957697838,0.977697354609992,
pn_per_dd_DQN_3.pkl,cicids2017,cicddos2019,67,0.6606701775644311,0.9692408071957869,0.599354448254993,0.08034083992696288,0.7406866585939169,
pn_per_dd_DQN_3.pkl,cicids2017,cicdos2017,67,0.5819266589057043,0.9137077997671711,0.5492477256822953,0.2564878892733564,0.6860795454545454,
pn_per_dd_DQN_3.pkl,cicids2017,cicids2017,67,0.9818276436303081,0.9897942191031284,0.9742710120068611,0.01037102398752576,0.9819712708616676,
pn_per_dd_DQN_4.pkl,cicids2017,cicddos2019,67,0.6592487300181759,0.9772568392599151,0.5973393345487694,0.06248399487836107,0.74146496702675,
pn_per_dd_DQN_4.pkl,cicids2017,cicdos2017,67,0.5678114086146682,0.9263678696158324,0.5394915254237288,0.2602880658436214,0.6818766066838047,
pn_per_dd_DQN_4.pkl,cicids2017,cicids2017,67,0.9802664446294754,0.985809444510527,0.9750005882214536,0.014349635545719166,0.9803752247563168,
pn_dd_DQN_1.pkl,cicids2017,cicddos2019,67,0.6804539311180501,0.9725031458265367,0.613915857605178,0.06611385029134917,0.7526827420780204,
pn_dd_DQN_1.pkl,cicids2017,cicdos2017,67,0.5952415599534342,0.9650756693830035,0.5547469677959013,0.13415315818893236,0.7045201041058055,
pn_dd_DQN_1.pkl,cicids2017,cicids2017,67,0.9777090519804924,0.9843642202926133,0.9714341053422391,0.01584670468107678,0.9778564212242776,
pn_dd_DQN_2.pkl,cicids2017,cicddos2019,67,0.6538658712774386,0.9778160973109009,0.5933708532481122,0.0630046326935804,0.7385595606871304,
pn_dd_DQN_2.pkl,cicids2017,cicdos2017,67,0.5822176949941793,0.9121071012805588,0.5495353322812555,0.2583404619332763,0.6858518437465806,
pn_dd_DQN_2.pkl,cicids2017,cicids2017,67,0.9769239919115024,0.977750683953848,0.976136754978684,0.022286163634413984,0.9769430529061855,
pn_dd_DQN_3.pkl,cicids2017,cicddos2019,67,0.6940858461108264,0.9706389523232511,0.62496624156039,0.06570028157263531,0.7603592420868168,
pn_dd_DQN_3.pkl,cicids2017,cicdos2017,67,0.5913853317811408,0.9275320139697323,0.554646710755308,0.2211367673179396,0.6941842735787411,
