model,train dataset,test dataset,features,accuracy,precision,recall,FPR,F1 score,notes
vanilla_DQN_1.pkl,unswnb15,unswnb15,189,0.6433051153667475,0.8989344376715834,0.6238475821425689,0.27923121424439157,0.7365441253562339,
vanilla_DQN_2.pkl,unswnb15,unswnb15,189,0.6233030506374851,0.9298543576380811,0.604251394705411,0.2656621728786677,0.7324994272623139,
vanilla_DQN_3.pkl,unswnb15,unswnb15,189,0.6739147266814639,0.8470289888790656,0.6607321101250431,0.2936447679871377,0.7423712569966253,
vanilla_DQN_4.pkl,unswnb15,unswnb15,189,0.6807154286894131,0.8357219301102787,0.6701429051154808,0.29556299706990374,0.7438292056655347,
pn_per_dd_DQN_1.pkl,unswnb15,unswnb15,189,0.6488282661436019,0.8821134428365363,0.6312748705482759,0.29068900235213124,0.7359063691856796,
pn_per_dd_DQN_2.pkl,unswnb15,unswnb15,189,0.6550224539307283,0.8693173886743288,0.6389254629708794,0.2954605228551891,0.736524644451672,
pn_per_dd_DQN_3.pkl,unswnb15,unswnb15,189,0.6515382233004697,0.8882322832813736,0.6323268794408466,0.2806894536955887,0.7387455373987751,
pn_per_dd_DQN_4.pkl,unswnb15,unswnb15,189,0.6861482475610385,0.8201107440323856,0.6799899689423021,0.30140724281760417,0.7435061853386908,
pn_dd_DQN_1.pkl,unswnb15,unswnb15,189,0.6235740463531719,0.92973802987297,0.6044590997095838,0.26537785588752194,0.7326159092159055,
pn_dd_DQN_2.pkl,unswnb15,unswnb15,189,0.6557063954988902,0.8804615885719603,0.6372545717845957,0.2837733348061416,0.739371678649578,
pn_dd_DQN_3.pkl,unswnb15,unswnb15,189,0.62374180560574,0.9298310920850589,0.6045653259110231,0.26490996925779536,0.7327228226493965,
pn_dd_DQN_4.pkl,unswnb15,unswnb15,189,0.691748825685232,0.8102926806570192,0.6888313126718222,0.30277375515205524,0.7446415017692398,
per_dd_DQN_1.pkl,unswnb15,unswnb15,189,0.6250451659526145,0.9254571681168862,0.6060947737315252,0.2701062215477997,0.7324789157735793,
per_dd_DQN_2.pkl,unswnb15,unswnb15,189,0.6666107469158107,0.8585454376250523,0.6513228727253473,0.2918166546676266,0.7407139774586257,
per_dd_DQN_3.pkl,unswnb15,unswnb15,189,0.6517705053424869,0.8873481922665302,0.632682514141632,0.2813644023476088,0.7386820316661018,
per_dd_DQN_4.pkl,unswnb15,unswnb15,189,0.6234579053321633,0.9301568098273696,0.6043200266033829,0.26484340538156154,0.7326436929053777,
dueling_DQN_1.pkl,unswnb15,unswnb15,189,0.6367237908429257,0.9091945465543716,0.6170985519604592,0.27553829862336743,0.7351964556152347,
dueling_DQN_2.pkl,unswnb15,unswnb15,189,0.6391498477262169,0.9002605741938486,0.6204005066457168,0.28351299517227696,0.7345780376448702,
dueling_DQN_3.pkl,unswnb15,unswnb15,189,0.6922650080008259,0.8079428598017775,0.6901369264095073,0.3037942074853715,0.7444078841598697,
dueling_DQN_4.pkl,unswnb15,unswnb15,189,0.6235611417952821,0.9298776231911032,0.6044310018903591,0.26515351455969033,0.732638602472802,
double_DQN_1.pkl,unswnb15,unswnb15,189,0.6376529190109946,0.9074961611837513,0.6180734918949754,0.27643746089133003,0.7353309894335994,
double_DQN_2.pkl,unswnb15,unswnb15,189,0.6430083105352811,0.8939556093248336,0.6244758654314968,0.2855531888234557,0.7353031230863442,
double_DQN_3.pkl,unswnb15,unswnb15,189,0.6826511123728901,0.8325810804522823,0.6728968447971118,0.29600987248046073,0.744270205066345,
double_DQN_4.pkl,unswnb15,unswnb15,189,0.6919682031693594,0.8086175608394212,0.6896031746031746,0.30363206850730845,0.7443832858580882,
dd_DQN_1.pkl,unswnb15,unswnb15,189,0.6481572291333298,0.8923037550602578,0.6288511042974962,0.2804944555535357,0.7377634147983573,
dd_DQN_2.pkl,unswnb15,unswnb15,189,0.6902260878542301,0.8063840677492904,0.6884770474544624,0.3065306272790895,0.7427806054111974,
dd_DQN_3.pkl,unswnb15,unswnb15,189,0.6825220667939916,0.8336745614443255,0.6724655631873288,0.2953399983475171,0.7444425977479536,
dd_DQN_4.pkl,unswnb15,unswnb15,189,0.6697465544830434,0.8553813224140338,0.6548751380428199,0.29114754098360657,0.7418183285581696,
default_A2C_1.pkl,unswnb15,unswnb15,189,0.6216512672275848,0.9298776231911032,0.6030811944532464,0.2686513949549871,0.7316461489176697,
default_A2C_2.pkl,unswnb15,unswnb15,189,0.6217028854591442,0.9299474198501698,0.6031082610335723,0.2684318445217081,0.7316876721857639,
default_A2C_3.pkl,unswnb15,unswnb15,189,0.6218190264801527,0.9295053743427482,0.6032493809264964,0.26899857954545453,0.7316546103836644,
default_A2C_4.pkl,unswnb15,unswnb15,189,0.6213544623961184,0.9284584244567493,0.6030616254117932,0.27169111150379927,0.7311920554069405,
