;;;;;;;;;
Model;Train dataset;Test dataset;Features;Accuracy;Precision;Recall;FPR;F1 score;notes
A2C;cicddos2019;cicddos2019;"[""URG Flag Count"", ""Down/Up Ratio"", ""Bwd Packet Length Min"", ""ACK Flag Count”, “Fwd Packets Length Total”]";82.91958041958043%;67.42424242424242%;97.80794803841898%;24.82392638772303%;0.797492045927689;
DQN;cicddos2019;cicddos2019;"[""URG Flag Count"", ""Down/Up Ratio"", ""Bwd Packet Length Min"", ""ACK Flag Count”, “Fwd Packets Length Total”]";81.06643356643357%;87.6107226107226%;83.9064890370715%;13.121198747115972%;0.835164925818649;
PN PER DDDQN;cicddos2019;cicddos2019;"[""URG Flag Count"", ""Down/Up Ratio"", ""Bwd Packet Length Min"", ""ACK Flag Count”, “Fwd Packets Length Total”]";88.98601398601399%;78.18181818181817%;99.73319973506207%;17.936774245912822%;0.876490794215419;
PN DDDQN;cicddos2019;cicddos2019;"[""URG Flag Count"", ""Down/Up Ratio"", ""Bwd Packet Length Min"", ""ACK Flag Count”, “Fwd Packets Length Total”]";60.850815850815856%;92.75058275058275%;63.46460554810096%;9.211736957638598%;0.717207447885498;
Double DQN;cicddos2019;cicddos2019;"[""URG Flag Count"", ""Down/Up Ratio"", ""Bwd Packet Length Min"", ""ACK Flag Count”, “Fwd Packets Length Total”]";74.39393939393939%;90.10489510489509%;77.02979200815656%;13.6261109338197%;0.800419847829905;
DDDQN;cicddos2019;cicddos2019;"[""URG Flag Count"", ""Down/Up Ratio"", ""Bwd Packet Length Min"", ""ACK Flag Count”, “Fwd Packets Length Total”]";0.800419847829905;0.800419847829905;53.66217768834793%;21.125553172356092%;0.685868678177014;
Dueling DQN;cicddos2019;cicddos2019;"[""URG Flag Count"", ""Down/Up Ratio"", ""Bwd Packet Length Min"", ""ACK Flag Count”, “Fwd Packets Length Total”]";76.12470862470863%;73.04195804195804%;88.4691248529186%;21.155178173419838%;0.749002489954631;
PER DDDQN;cicddos2019;cicddos2019;"[""URG Flag Count"", ""Down/Up Ratio"", ""Bwd Packet Length Min"", ""ACK Flag Count”, “Fwd Packets Length Total”]";81.16550116550117%;83.83449883449883%;87.63627255586842%;16.94401824917186%;0.833959593628138;
A2C;cicddos2019;cicddos2019;all;95.53030303030303%;94.4988344988345%;96.60869643099184%;5.25634954668659%;0.954721170009525;
DQN;cicddos2019;cicddos2019;all;67.87296037296038%;48.053613053613056%;65.55563688483687%;34.56647934451331%;0.532670716833691;
