model,train dataset,test dataset,features,accuracy,precision,recall,FPR,F1 score,notes
dddqn.pkl,unswnb15,unswnb15,189,0.935270737624529,0.935727104879214,0.9994759415812773,0.9993977113029512,0.9665515263866846,
double_dqn.pkl,unswnb15,unswnb15,189,0.9325349713518815,0.9330286245497154,0.9994329576101237,1.0,0.9650898795373808,
dueling_dqn.pkl,unswnb15,unswnb15,189,0.8266530738656893,0.8270777652967682,0.9993759555680365,0.9999253397043453,0.9051000007064692,
per_dddqn.pkl,unswnb15,unswnb15,189,0.7501548546946781,0.7505390504964429,0.9993123603231906,0.9999482455232378,0.857241872571357,
pn_dddqn.pkl,unswnb15,unswnb15,189,0.8826717596655138,0.8830099030354676,0.9995469227284021,0.9988975857127108,0.9376713831304156,
vanilla_dqn.pkl,unswnb15,unswnb15,189,0.800340680328292,0.8006610631237815,0.9994681279716335,0.9994821000841587,0.8890864254172162,
pn_per_dddqn.pkl,unswnb15,unswnb15,189,0.9994709131265163,1.0,0.9994709131265163,0.0,0.9997353865615097,
dddqn.pkl,cicddos2019,cicddos2019,67,0.8137155444769717,0.7302709069493521,0.999136690647482,0.37440149480322316,0.8438039225216905,
dddqn.pkl,cicddos2019,cicdos2017,67,0.7684638475476189,0.7695663873298992,0.9791282019930305,0.8226293399204062,0.8617904552816655,
dddqn.pkl,cicddos2019,cicids2017,67,0.5610018090847159,0.514133641997844,0.9407485122292886,0.7663395814845174,0.6648929707347115,
double_dqn.pkl,cicddos2019,cicddos2019,67,0.9029448421784876,0.9528226484940265,0.9104813586574214,0.11653764222995791,0.9311709267310044,
double_dqn.pkl,cicddos2019,cicdos2017,67,0.6954918734731775,0.7323460444376105,0.927813085932744,0.9670821903538317,0.8185724260164348,
double_dqn.pkl,cicddos2019,cicids2017,67,0.6509130466023497,0.7494684986105802,0.8226490790546815,0.9296782548062557,0.7843555455669176,
dueling_dqn.pkl,cicddos2019,cicddos2019,67,0.83755543317585,0.7655645296988053,0.9982721263816132,0.342521741802649,0.8665674662222487,
dueling_dqn.pkl,cicddos2019,cicdos2017,67,0.6549268477369223,0.6427212270315984,0.9837751169427201,0.865567739982771,0.7774910194259409,
dueling_dqn.pkl,cicddos2019,cicids2017,67,0.5485574163832676,0.5142270573935601,0.915983696702044,0.7846038584004495,0.6586771909338912,
per_dddqn.pkl,cicddos2019,cicddos2019,67,0.6393582794701603,0.4767794043412418,0.9996031221060987,0.5369886670264437,0.6456188319733412,
per_dddqn.pkl,cicddos2019,cicdos2017,67,0.19445070447928028,0.16299876989313447,0.8820990222592053,0.9497301128618941,0.27515330456506926,
per_dddqn.pkl,cicddos2019,cicids2017,67,0.31282249049753014,0.19787206170999566,0.9560230338244449,0.8239201668484633,0.3278811903736732,
pn_dddqn.pkl,cicddos2019,cicddos2019,67,0.8155850555056375,0.7333627797408716,0.9986252327080052,0.3719013113503682,0.8456808838331776,
pn_dddqn.pkl,cicddos2019,cicdos2017,67,0.3479307329649428,0.3114380718074883,0.9792409500211519,0.9204768817687792,0.47257746992344146,
pn_dddqn.pkl,cicddos2019,cicids2017,67,0.668068881650933,0.6308513471144307,0.9652604358340782,0.7005128581296266,0.7630240598027528,
vanilla_dqn.pkl,cicddos2019,cicddos2019,67,0.703588301788354,0.5703769140164899,0.9990053416835513,0.4879948395728313,0.726157801014875,
vanilla_dqn.pkl,cicddos2019,cicdos2017,67,0.22674947941550305,0.17825017298377796,0.9855996599181678,0.9282845170115291,0.3019003051881994,
vanilla_dqn.pkl,cicddos2019,cicids2017,67,0.4779094293424627,0.40107953837762156,0.9583742774381092,0.7859592612006335,0.5654981556798475,
pn_per_dddqn.pkl,cicddos2019,cicddos2019,67,0.630851279673053,0.6933787649335352,0.7516187870497036,0.5798265849972158,0.7213251061222703,
pn_per_dddqn.pkl,cicddos2019,cicdos2017,67,0.5680906493108453,0.5617167678942108,0.9620290666096087,0.9089205994897959,0.7092887090217397,
pn_per_dddqn.pkl,cicddos2019,cicids2017,67,0.6235921382580942,0.5817041115658997,0.9571169624117535,0.7303190901029765,0.7236174259626327,
vanilla_dqn.pkl,nslkdd,nslkdd,117,0.9736455822346715,0.9759192268236057,0.9976129041160157,1.0,0.9866468336551649,
dddqn.pkl,nslkdd,nslkdd,117,0.8424121631630688,0.844352356784191,0.9972737708054333,0.9998265845833695,0.9144640664288638,
double_dqn.pkl,nslkdd,nslkdd,117,0.970359696728928,0.9725986717779818,0.9976323987538941,0.9990157480314961,0.9849564961827364,
dueling_dqn.pkl,nslkdd,nslkdd,117,0.9658887377620965,0.9681172722855137,0.9976214652330547,0.9991539763113367,0.9826479513896025,
per_dddqn.pkl,nslkdd,nslkdd,117,0.9758406614864592,0.9780789374223854,0.9976593694065813,0.9981561155500922,0.9877721280859358,
pn_dddqn.pkl,nslkdd,nslkdd,117,0.9976702533094524,1.0,0.9976702533094524,0.0,0.9988337681423207,
pn_per_dddqn.pkl,nslkdd,nslkdd,117,0.8438396380139246,0.8457831650558825,0.997278370205316,0.999824975934191,0.9153044977138932,
